,Artist,Rank,Song Title,Year
364,War,95,Me And Baby Brother,1974
365,The Stylistics,96,Rockin' Roll Baby,1974
366,Olivia Newton-John,97,I Honestly Love You,1974
367,Chicago,98,Call On Me,1974
368,Fancy,99,Wild Thing,1974
369,Captain & Tennille,1,Love Will Keep Us Together,1975
370,Glen Campbell,2,Rhinestone Cowboy,1975
371,Elton John,3,Philadelphia Freedom,1975
372,Freddy Fender,4,Before The Next Teardrop Falls,1975
373,Frankie Valli,5,My Eyes Adored You,1975
374,Grand Funk,6,Some Kind Of Wonderful,1975
375,David Bowie,8,Fame,1975
376,Neil Sedaka,9,Laughter In The Rain,1975
377,Eagles,10,One Of These Nights,1975
378,John Denver,11,Thank God I'm A Country Boy,1975
379,Bee Gees,12,Jive Talkin',1975
380,Eagles,13,Best Of My Love,1975
381,Minnie Riperton,14,Lovin' You,1975
382,Carl Douglas,15,Kung Fu Fighting,1975
383,The Doobie Brothers,16,Black Water,1975
384,Sweet,17,Ballroom Blitz,1975
385,B.J. Thomas,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1975
386,Tony Orlando & Dawn,19,He Don't Love You (Like I Love You),1975
387,Janis Ian,20,At Seventeen,1975
388,Average White Band,21,Pick Up The Pieces,1975
389,Labelle,23,Lady Marmalade,1975
390,War,24,Why Can't We Be Friends?,1975
391,Major Harris,25,Love Won't Let Me Wait,1975
392,Stevie Wonder,26,Boogie On Reggae Woman,1975
393,Helen Reddy,28,Angie Baby,1975
394,Ozark Mountain Daredevils,30,Jackie Blue,1975
395,Ohio Players,31,Fire,1975
396,Pilot,32,Magic,1975
397,Carpenters,33,Please Mr. Postman,1975
398,America,34,Sister Golden Hair,1975
399,Elton John,35,Lucy In The Sky With Diamonds,1975
400,Barry Manilow,36,Mandy,1975
401,Olivia Newton-John,37,Have You Never Been Mellow,1975
402,Barry Manilow,38,Could It Be Magic,1975
403,Harry Chapin,39,Cat's In The Cradle,1975
404,Michael Murphey,40,Wildfire,1975
405,10cc,43,I'm Not In Love,1975
406,Billy Swan,44,I Can Help,1975
407,"Hamilton, Joe Frank & Reynolds",45,Fallin' In Love,1975
408,Morris Albert,46,Feelings,1975
409,Linda Ronstadt,47,When Will I Be Loved,1975
410,Sammy Johns,48,Chevy Van,1975
411,Barry White,49,"You're The First, The Last, My Everything",1975
412,Olivia Newton-John,50,Please Mr. Please,1975
413,Linda Ronstadt,51,You're No Good,1975
414,The Blackbyrds,53,Walking In Rhythm,1975
415,Gladys Knight And The Pips,54,The Way We Were/try To Remember,1975
416,Melissa Manchester,55,Midnight Blue,1975
417,Sugarloaf/Jerry Corbetta,56,"Don't Call Us, We'll Call You",1975
418,Phoebe Snow,57,Poetry Man,1975
419,Ace,58,How Long,1975
420,B.T. Express,59,Express,1975
421,Styx,61,Lady,1975
422,Grand Funk,62,Bad Time,1975
423,Alice Cooper,63,Only Women Bleed,1975
424,Carol Douglas,64,Doctor's Orders,1975
425,Paul Anka with Odia Coates,66,One Man Woman/One Woman Man,1975
426,Bad Company,67,Feel Like Makin' Love,1975
427,James Taylor,68,How Sweet It Is (To Be Loved By You),1975
428,Orleans,69,Dance With Me,1975
429,Average White Band,70,Cut The Cake,1975
430,Gloria Gaynor,71,Never Can Say Goodbye,1975
431,Paul Anka,72,I Don't Like To Sleep Alone,1975
432,Donny & Marie Osmond,73,Morning Side Of The Mountain,1975
433,Joe Simon,75,"Get Down, Get Down (Get On The Floor)",1975
434,Queen,76,Killer Queen,1975
435,Eddie Kendricks,77,Shoeshine Boy,1975
436,Electric Light Orchestra,79,Can't Get It Out Of My Head,1975
437,Al Green,80,Sha-la-la (makes Me Happy),1975
438,America,81,Lonely People,1975
439,Mike Post,82,Rockford Files,1975
440,Tavares,83,It Only Takes A Minute,1975
441,Ringo Starr,85,No No Song/snookeroo,1975
442,Jethro Tull,87,Bungle In The Jungle,1975
443,Leo Sayer,88,Long Tall Glasses (I Can Dance),1975
444,Ray Stevens,89,Misty,1975
445,Elton John,90,Someone Saved My Life Tonight,1975
446,Neil Sedaka,91,Bad Blood,1975
447,Carpenters,92,Only Yesterday,1975
448,Ringo Starr,94,Only You,1975
449,Amazing Rhythm Aces,95,Third Rate Romance,1975
450,Bachman-Turner Overdrive,96,You Ain't Seen Nothing Yet/Free Wheelin',1975
451,Frankie Valli,97,Swearin' To God,1975
452,Wings,1,Silly Love Songs,1976
453,Elton John & Kiki Dee,2,Don't Go Breaking My Heart,1976
454,Johnnie Taylor,3,Disco Lady,1976
455,Wild Cherry,5,Play That Funky Music,1976
456,Paul Simon,8,50 Ways To Leave Your Lover,1976
457,Gary Wright,9,Love Is Alive,1976
458,Walter Murphy & The Big Apple Band,10,A Fifth Of Beethoven,1976
459,Starland Vocal Band,12,Afternoon Delight,1976
460,Barry Manilow,13,I Write The Songs,1976
