,Artist,Rank,Song Title,Year
413,Culture Club,82,Church Of The Poison Mind,1984
414,Christopher Cross,83,Think Of Laura,1984
415,Debarge,84,Time Will Reveal,1984
416,The Police,85,Wrapped Around Your Finger,1984
417,Ratt,87,Round And Round,1984
418,Go-Go's,88,Head Over Heels,1984
419,Billy Joel,89,The Longest Time,1984
420,Kool & The Gang,90,Tonight,1984
421,Christine McVie,91,Got A Hold On Me,1984
422,Shalamar,92,Dancing In The Sheets,1984
423,The Rolling Stones,93,UNDERCOVER OF THE NIGHT,1984
424,John Cafferty & The Beaver Brown Band,94,On The Dark Side,1984
425,Duran Duran,95,New Moon On Monday,1984
426,Peter Schilling,96,Major Tom (Coming Home),1984
427,The Cars,97,Magic,1984
428,Night Ranger,98,When You Close Your Eyes,1984
429,Billy Squier,99,Rock Me Tonite,1984
430,James Ingram With Michael McDonald,100,Yah Mo Be There,1984
431,Madonna,2,Like A Virgin,1985
432,Wham!,3,Wake Me Up Before You Go-Go,1985
433,Foreigner,4,I Want To Know What Love Is,1985
434,Chaka Khan,5,I Feel For You,1985
435,Tears For Fears,7,Everybody Wants To Rule The World,1985
436,Dire Straits,8,Money For Nothing,1985
437,Madonna,9,Crazy For You,1985
438,a-ha,10,Take On Me,1985
439,Paul Young,11,Everytime You Go Away,1985
440,Philip Bailey With Phil Collins,12,Easy Lover,1985
441,REO Speedwagon,13,Can't Fight This Feeling,1985
442,Starship,14,We Built This City,1985
443,Huey Lewis & The News,15,The Power Of Love,1985
444,Simple Minds,16,Don't You (Forget About Me),1985
445,Kool & The Gang,17,Cherish,1985
446,John Parr,18,St. Elmo's Fire (Man In Motion),1985
447,Glenn Frey,19,The Heat Is On,1985
448,USA For Africa,20,We Are The World,1985
449,Tears For Fears,21,Shout,1985
450,Stevie Wonder,22,Part-Time Lover,1985
451,Whitney Houston,23,Saving All My Love For You,1985
452,Bryan Adams,24,Heaven,1985
453,Wham!,25,Everything She Wants,1985
454,New Edition,26,Cool It Now,1985
455,Jan Hammer,27,Miami Vice Theme,1985
456,Billy Ocean,28,Loverboy,1985
457,Teena Marie,29,Lover Girl,1985
458,Glenn Frey,30,You Belong To The City,1985
459,Ready For The World,31,Oh Sheila,1985
460,Debarge,32,Rhythm Of The Night,1985
461,Phil Collins,33,One More Night,1985
462,The Honeydrippers,34,Sea Of Love,1985
463,Duran Duran,35,A View To A Kill,1985
464,Duran Duran,36,The Wild Boys,1985
465,Chicago,37,You're The Inspiration,1985
466,The Pointer Sisters,38,Neutron Dance,1985
467,Pat Benatar,39,We Belong,1985
468,Commodores,40,Nightshift,1985
469,Howard Jones,41,Things Can Only Get Better,1985
470,Jack Wagner,42,All I Need,1985
471,Aretha Franklin,43,Freeway Of Love,1985
472,Corey Hart,44,Never Surrender,1985
473,Phil Collins,45,Sussudio,1985
474,Sheena Easton,46,Strut,1985
475,Whitney Houston,47,You Give Good Love,1985
476,Survivor,48,The Search Is Over,1985
477,Diana Ross,49,Missing You,1985
478,Prince And The Revolution,51,Raspberry Beret,1985
479,Billy Ocean,52,Suddenly,1985
480,Don Henley,53,THE BOYS OF SUMMER,1985
481,Murray Head,54,One Night In Bangkok,1985
482,Sting,55,If You Love Somebody Set Them Free,1985
483,Animotion,56,Obsession,1985
484,Tina Turner,57,We Don't Need Another Hero (Thunderdome),1985
485,Madonna,58,Material Girl,1985
486,Tina Turner,59,Better Be Good To Me,1985
487,Tears For Fears,60,Head Over Heels,1985
488,Harold Faltermeyer,61,Axel F,1985
489,Sade,62,Smooth Operator,1985
490,Mary Jane Girls,63,In My House,1985
491,Phil Collins,64,Don't Lose My Number,1985
492,Cyndi Lauper,65,All Through The Night,1985
493,Bryan Adams,66,Run To You,1985
494,Bruce Springsteen,67,Glory Days,1985
495,Kool & The Gang,69,Misled,1985
496,Eurythmics,70,Would I Lie To You?,1985
497,ABC,71,Be Near Me,1985
498,Paul McCartney,72,No More Lonely Nights,1985
499,Survivor,73,I Can't Hold Back,1985
500,Wham!,76,Freedom,1985
501,Julian Lennon,77,Too Late For Goodbyes,1985
502,Julian Lennon,78,Valotte,1985
503,The Power Station,79,Some Like It Hot,1985
504,Ashford & Simpson,80,Solid,1985
505,Madonna,81,Angel,1985
506,Bruce Springsteen,82,I'm On Fire,1985
507,Debarge,85,Who's Holding Donna Now,1985
508,Heart,87,What About Love,1985
509,David Lee Roth,88,California Girls,1985
510,Kool & The Gang,89,Fresh,1985
511,Jermaine Jackson,90,Do What You Do,1985
512,The Time,91,Jungle Love,1985
513,Bruce Springsteen,92,Born In The U.S.A.,1985
514,Tina Turner,93,Private Dancer,1985
515,Aretha Franklin,94,Who's Zoomin' Who,1985
516,Sting,95,Fortress Around Your Heart,1985
517,Lionel Richie,96,Penny Lover,1985
518,Don Henley,97,ALL SHE WANTS TO DO IS DANCE,1985
519,Night Ranger,99,Sentimental Street,1985
520,Sheena Easton,100,Sugar Walls,1985
521,Dionne & Friends,1,That's What Friends Are For,1986
522,Klymaxx,3,I MISS YOU,1986
523,Patti LaBelle & Michael McDonald,4,ON MY OWN,1986
524,Mr. Mister,5,Broken Wings,1986
525,Whitney Houston,6,How Will I Know,1986
526,Eddie Murphy,7,Party All The Time,1986
527,Survivor,8,Burning Heart,1986
528,Mr. Mister,9,Kyrie,1986
529,Robert Palmer,10,Addicted To Love,1986
530,Whitney Houston,11,Greatest Love Of All,1986
531,Atlantic Starr,12,Secret Lovers,1986
532,Carl Anderson & Gloria Loring,13,Friends And Lovers,1986
533,Pet Shop Boys,15,West End Girls,1986
534,Billy Ocean,16,There'll Be Sad Songs (To Make You Cry),1986
535,Simple Minds,17,Alive And Kicking,1986
536,Heart,18,Never,1986
537,Prince And The Revolution,19,Kiss,1986
538,Steve Winwood,20,Higher Love,1986
539,Huey Lewis & The News,21,Stuck With You,1986
540,Simply Red,22,Holding Back The Years,1986
541,Peter Gabriel,23,Sledgehammer,1986
542,Starship,24,Sara,1986
543,The Human League,25,Human,1986
544,Nu Shooz,26,I Can't Wait,1986
545,Falco,28,Rock Me Amadeus,1986
546,Madonna,29,Papa Don't Preach,1986
547,Bon Jovi,30,You Give Love A Bad Name,1986
548,Janet Jackson,32,When I Think Of You,1986
549,Heart,33,These Dreams,1986
550,Madonna,35,Live To Tell,1986
551,Belinda Carlisle,36,Mad About You,1986
552,Level 42,37,Something About You,1986
553,Bananarama,38,Venus,1986
554,Lionel Richie,39,Dancing On The Ceiling,1986
555,Miami Sound Machine,40,Conga,1986
556,Cyndi Lauper,41,True Colors,1986
557,Kenny Loggins,42,Danger Zone,1986
558,Janet Jackson,43,What Have You Done For Me Lately,1986
559,Howard Jones,44,No One Is To Blame,1986
560,Sly Fox,45,Let's Go All The Way,1986
561,Miami Sound Machine,47,Words Get In the Way,1986
562,Dire Straits,49,Walk Of Life,1986
563,Boston,50,Amanda,1986
564,Stacey Q,51,Two Of Hearts,1986
565,The Jets,52,Crush On You,1986
566,Orchestral Manoeuvres In The Dark,53,If You Leave,1986
567,Genesis,54,Invisible Touch,1986
568,Sade,55,The Sweetest Taboo,1986
569,INXS,56,What You Need,1986
570,Stevie Nicks,57,Talk To Me,1986
571,Janet Jackson,58,Nasty,1986
572,The Outfield,62,Your Love,1986
573,Wham!,63,I'm Your Man,1986
574,Scritti Politti,64,Perfect Way,1986
575,James Brown,65,Living In America,1986
576,Cameo,68,Word Up,1986
577,Van Halen,69,Why Can't This Be Love,1986
578,Tina Turner,71,Typical Male,1986
579,Baltimora,73,Tarzan Boy,1986
580,Madonna,76,True Blue,1986
581,Timex Social Club,77,Rumors,1986
582,The Dream Academy,78,Life In A Northern Town,1986
583,Miami Sound Machine,79,Bad Boy,1986
584,ZZ Top,80,Sleeping Bag,1986
585,The Cars,81,Tonight She Comes,1986
586,Sheila E.,83,A Love Bizarre,1986
587,Genesis,84,Throwing It All Away,1986
588,Regina,85,Baby Love,1986
589,Arcadia,86,Election Day,1986
590,Elton John,87,Nikita,1986
591,Phil Collins,88,Take Me Home,1986
592,Run-D.M.C.,89,Walk This Way,1986
593,Anita Baker,90,Sweet Love,1986
594,The Moody Blues,91,Your Wildest Dreams,1986
